fpl_hostname,fpl_name,fpl_controvflag,fpl_disc,fpl_orbper,fpl_orbpererr1,fpl_orbpererr2,fpl_orbperlim,fpl_smax,fpl_smaxerr1,fpl_smaxerr2,fpl_smaxlim,fpl_eccen,fpl_eccenerr1,fpl_eccenerr2,fpl_eccenlim,fpl_bmasse,fpl_bmasseerr1,fpl_bmasseerr2,fpl_bmasselim,fpl_bmassprov,fpl_rade,fpl_radeerr1,fpl_radeerr2,fpl_radelim,fpl_dens,fpl_denserr1,fpl_denserr2,fpl_denslim,ra_str,ra,dec_str,dec,fst_dist,fst_disterr1,fst_disterr2,fst_distlim,fst_teff,fst_tefferr1,fst_tefferr2,fst_tefflim,fst_logg,fst_loggerr1,fst_loggerr2,fst_logglim,fst_lum,fst_lumerr1,fst_lumerr2,fst_lumlim,fst_mass,fst_masserr1,fst_masserr2,fst_masslim,fst_rad,fst_raderr1,fst_raderr2,fst_radlim,fst_age,fst_ageerr1,fst_ageerr2,fst_agelim
Kepler-402,Kepler-402 c,0,2014,6.124821,0.000026,-0.000026,0,0.068,,,0,,,,,3.05,,,0,M-R relationship,1.56,0.35,-0.35,0,4.41,,,0,19h13m28.85s,288.370225,+43d21m16.6s,43.35461,720,105.35,-69.52,0,6090,120,-120,0,4.28,0.15,-0.15,0,0.195,0.014,-0.015,0,1.15,0.06,-0.05,0,1.26,0.24,-0.24,0,3.31,0.896,-1.31,0
Kepler-402,Kepler-402 d,0,2014,8.921099,0.000056,-0.000056,0,0.087,,,0,,,,,2.48,,,0,M-R relationship,1.38,0.27,-0.27,0,5.19,,,0,19h13m28.85s,288.370225,+43d21m16.6s,43.35461,720,105.35,-69.52,0,6090,120,-120,0,4.28,0.15,-0.15,0,0.195,0.014,-0.015,0,1.15,0.06,-0.05,0,1.26,0.24,-0.24,0,3.31,0.896,-1.31,0
Kepler-402,Kepler-402 e,0,2014,11.242861,0.000059,-0.000059,0,0.102,,,0,,,,,2.73,,,0,M-R relationship,1.46,0.29,-0.29,0,4.82,,,0,19h13m28.85s,288.370225,+43d21m16.6s,43.35461,720,105.35,-69.52,0,6090,120,-120,0,4.28,0.15,-0.15,0,0.195,0.014,-0.015,0,1.15,0.06,-0.05,0,1.26,0.24,-0.24,0,3.31,0.896,-1.31,0
Kepler-403,Kepler-403 b,0,2014,7.031462,0.000051,-0.000051,0,0.076,,,0,,,,,2.1,,,0,M-R relationship,1.25,0.22,-0.22,0,5.91,,,0,19h19m41.15s,289.921461,+46d44m40.4s,46.74456,671,123.59,-84.86,0,6090,100,-100,0,4.27,0.15,-0.15,0,0.633,0.015,-0.016,0,1.25,0.09,-0.06,0,1.33,0.24,-0.24,0,3.09,0.51,-0.81,0
Kepler-403,Kepler-403 c,0,2014,54.280749,0.000562,-0.000562,0,0.297,,,0,,,,,3.71,,,0,M-R relationship,1.75,0.32,-0.32,0,3.8,,,0,19h19m41.15s,289.921461,+46d44m40.4s,46.74456,671,123.59,-84.86,0,6090,100,-100,0,4.27,0.15,-0.15,0,0.633,0.015,-0.016,0,1.25,0.09,-0.06,0,1.33,0.24,-0.24,0,3.09,0.51,-0.81,0
Kepler-403,Kepler-403 d,0,2016,13.61159129,0.00008288,-0.00008288,0,,,,,,,,,2.6,,,0,M-R relationship,1.42,0.3,-0.19,0,4.99,,,0,19h19m41.15s,289.921461,+46d44m40.4s,46.74456,671,123.59,-84.86,0,6090,100,-100,0,4.27,0.15,-0.15,0,0.633,0.015,-0.016,0,1.25,0.09,-0.06,0,1.33,0.24,-0.24,0,3.09,0.51,-0.81,0
Kepler-404,Kepler-404 b,0,2014,11.829851,0.000209,-0.000209,0,0.102,,,0,,,,,2.15,,,0,M-R relationship,1.27,0.55,-0.55,0,5.77,,,0,19h05m35.67s,286.398631,+45d20m36.7s,45.343533,812.43,14.42,-13.97,0,5654,200,-200,0,4.54,0.3,-0.3,0,-0.345,0.02,-0.021,0,,,,,0.88,0.33,-0.33,0,,,,
Kepler-404,Kepler-404 c,0,2014,14.751166,0.000261,-0.000261,0,0.118,,,0,,,,,3.61,,,0,M-R relationship,1.72,0.85,-0.85,0,3.9,,,0,19h05m35.67s,286.398631,+45d20m36.7s,45.343533,812.43,14.42,-13.97,0,5654,200,-200,0,4.54,0.3,-0.3,0,-0.345,0.02,-0.021,0,,,,,0.88,0.33,-0.33,0,,,,
Kepler-405,Kepler-405 b,0,2014,10.613839,0.000111,-0.000111,0,0.095,,,0,,,,,4.98,,,0,M-R relationship,2.08,0.99,-0.99,0,3.04,,,0,19h25m38.27s,291.409458,+38d20m24.1s,38.34003,1226,162.71,-99.88,0,5818,250,-250,0,4.54,0.3,-0.3,0,-0.351,0.039,-0.042,0,0.91,0.05,-0.05,0,0.89,0.42,-0.42,0,4.68,5.6,-3,0
Kepler-405,Kepler-405 c,0,2014,29.726682,0.011477,-0.011477,0,0.188,,,0,,,,,19.6,,,0,M-R relationship,4.66,26.65,-26.65,0,1.06,,,0,19h25m38.27s,291.409458,+38d20m24.1s,38.34003,1226,162.71,-99.88,0,5818,250,-250,0,4.54,0.3,-0.3,0,-0.351,0.039,-0.042,0,0.91,0.05,-0.05,0,0.89,0.42,-0.42,0,4.68,5.6,-3,0
